duration_minutes,likes,comments,engagement_rate,Year,Month,Day,PublishedDay_Monday,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Tuesday,PublishedDay_Wednesday,PublishedDay_Wednesday,PublishedDay_Monday,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Tuesday,PublishedDay_Wednesday,PublishedDay_Wednesday,video_type_Shorts,Actual_Views,Predicted_Views,title,publishedAt
1,31071,0.0,0.004279752066115703,2025,4,28,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1017651,1045757.82,What My Dresses Would Look Like as People? #Sponsored #DreamScreenAI,2025-04-28
19,37396,2607.0,0.005510055096418733,2025,4,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1506297,2179037.56,I Painted a LOUIS VUITTON Bag in 5 MIN vs 5 HOURS vs 5 DAYS,2025-04-19
1,13022,150.0,0.0018143250688705233,2025,4,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,615420,625798.85,How I keep my PINK HAIR off the floor! The ultimate robot vacuum assistant #ad,2025-04-13
24,87070,5342.0,0.01272892561983471,2025,4,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6104909,6208136.23,I Tested VIRAL Tiktok CANDY You Won’t Believe,2025-04-12
0,36866,152.0,0.005098898071625345,2025,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890874,1635801.75,World's BIGGEST Crocs vs World's SMALLEST Crocs,2025-04-07
48,92145,4766.0,0.01334862258953168,2025,4,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6149731,6312046.41,I Tested EVERY Mystery Box Website (part 2),2025-04-05
1,102438,455.0,0.01417258953168044,2025,3,31,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3901884,3702248.94,Dressing as VEGGIES in the WORLD’S LARGEST SHOPPING CART,2025-03-31
21,31939,2420.0,0.004732644628099174,2025,3,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2120449,2007426.28,I Bought EVERY CROCS Charm (aka JIBBITZ),2025-03-29
15,74282,2596.0,0.010589256198347108,2025,3,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3094339,4317619.21,"I Bought the SAME DRESS for $30, $300, $3,000",2025-03-22
27,57207,2612.0,0.008239531680440771,2025,3,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3380826,3335565.38,I Bought from EVERY LIVE Stream SHOPPING App,2025-03-15
0,32341,387.0,0.004507988980716253,2025,3,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1002215,1062627.86,Testing PINTEREST Vacation spots: Lake Edition,2025-03-06
17,90014,2830.0,0.012788429752066116,2025,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2747496,3669904.91,I got my SCAM Dresses FIXED by a Seamstress,2025-03-01
26,72419,5072.0,0.010673691460055097,2025,2,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7380059,6106884.78,I Created GIANT VIRAL BEAUTY Products,2025-02-22
0,174347,10437.0,0.025452341597796142,2025,2,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5372207,7363621.47,WHAT color is THE DRESS ???,2025-02-20
31,137058,7863.0,0.019961570247933883,2025,2,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8265370,8658887.36,Investigating UNREALISTIC Ai Products,2025-02-15
25,55978,2540.0,0.008060330578512397,2025,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4540978,3959400.99,I Bought the MOST UNUSUAL TIKTOK Nails,2025-02-01
0,36901,114.0,0.005098484848484849,2025,1,27,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1214157,1381981.64,When SMOKE DYED Clothes get WET ?!,2025-01-27
21,101640,7583.0,0.015044490358126722,2025,1,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9225117,8131624.69,I Tested UNUSUAL Viral Tiktok Candy,2025-01-25
1,187007,264.0,0.02579490358126722,2025,1,20,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5588099,6612324.85,"Can YOU GUESS $100 vs $10,000 Outfit?!",2025-01-20
27,92920,3026.0,0.013215702479338842,2025,1,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4897779,5232242.26,"I Bought the SAME OUTFIT for $100, $1000, $10,000",2025-01-18
1,204270,163.0,0.028158815426997247,2025,1,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4769475,7659248.53,Will SMOKE Tie-DYE this T-Shirt?!,2025-01-11
17,59648,2126.0,0.008508815426997246,2025,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2508742,3062319.48,Attempting to Finish EVERY DIY Project I've Started..,2025-01-04
1,148625,1093.0,0.02062231404958678,2024,12,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1989072,2557330.19,"$1,200 SWAROVSKI Advent Calendar (DAY 24)",2024-12-24
1,259238,590.0,0.03578898071625344,2024,12,23,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4289077,7115457.01,$600 BEAUTY ADVENT CALENDAR - Opening ENTIRE thing! (Day 23),2024-12-23
1,57605,1240.0,0.008105371900826447,2024,12,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1004136,1132867.7,$600 TIFFANY Advent Calendar (DAY 22),2024-12-22
16,67753,2953.0,0.009739118457300276,2024,12,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5046112,4953154.81,I Bought 10 UNUSUAL Beauty Products,2024-12-21
2,68561,503.0,0.009512947658402203,2024,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1186987,1206768.84,Opening ENTIRE $300 LUSH Advent Calendar (DAY 20),2024-12-20
1,62550,309.0,0.008658264462809918,2024,12,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,932803,1000116.95,Opening ENTIRE Advent Calendar: JEWELRY Theme (DAY 19),2024-12-19
1,62053,331.0,0.008592837465564739,2024,12,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,886284,1025451.87,Opening ENTIRE MAC Beauty Advent Calendar (day 18),2024-12-18
1,81939,401.0,0.01134159779614325,2024,12,17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1355320,1450601.56,Opening ENTIRE Barbie Advent Calendar (day 19),2024-12-17
1,54944,394.0,0.007622314049586777,2024,12,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,964117,985503.47,SCAMMED by FAKE LEGO Advent Calendar?? (Day 16),2024-12-15
2,130603,778.0,0.0180965564738292,2024,12,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2608776,2904982.71,Opening ENTIRE TAYLOR SWIFT Advent Calendar (day 14),2024-12-14
30,61621,4218.0,0.009068732782369146,2024,12,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6539556,5592066.55,I Bought #1 Products From Our Childhood *every decade*,2024-12-14
2,56499,752.0,0.007885812672176308,2024,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,901915,983048.95,TEMU SLIME Advent Calendar: Opening ENTIRE Advent every day until Christmas (Day 13),2024-12-13
1,77577,369.0,0.010736363636363636,2024,12,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1216337,1232807.79,SHEIN Beauty Advent Calendar: Opening ENTIRE Advent Every day until Christmas (Day 11),2024-12-12
1,293421,452.0,0.04047837465564738,2024,12,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,8485642,9250672.81,CROCS Advent Calendar! Opening ENTIRE Calendar EVERY DAY (Day 10),2024-12-10
1,208877,570.0,0.02884944903581267,2024,12,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3076818,7325044.52,CUTEST Charm Bracelet Advent Calendar! (Day 9),2024-12-09
1,71699,325.0,0.009920661157024793,2024,12,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1156204,1210927.66,Opening ENTIRE MINI BRANDS Advent Calendar (Day 8),2024-12-08
1,80835,262.0,0.01117038567493113,2024,12,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1215867,1318183.35,Opening ENTIRE ADVENT CALENDAR (Day 7) Ulta Makeup theme,2024-12-08
70,69819,3145.0,0.010050137741046832,2024,12,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5299091,5429837.9,I Bought EVERY DYSON Product,2024-12-07
1,86247,343.0,0.011926997245179063,2024,12,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1539999,1642836.02,BUILD-A-BEAR Advent Calendar! Opening ENTIRE advent every day until Christmas (day 6),2024-12-06
1,127709,290.0,0.017630716253443528,2024,12,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2715598,2875386.72,NAILS 💅 Advent Calendar: Opening and ENTIRE Advent EVERY DAY until Christmas (day 5),2024-12-05
1,66822,542.0,0.00927878787878788,2024,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,962869,1163213.1,Opening ENTIRE ADVENT CALENDAR: Funko Pop (day 4),2024-12-04
1,86873,367.0,0.012016528925619835,2024,12,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1334933,1611353.4,Opening ENTIRE ADVENT CALENDAR: Sephora edition (day 3),2024-12-03
1,71624,464.0,0.009929476584022039,2024,12,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1209750,1322756.92,WICKED ADVENT CALENDAR: the WORST calendar EVER??,2024-12-02
1,109378,400.0,0.015120936639118458,2024,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2080655,2825374.64,Opening ENTIRE ADVENT CALENDAR: ALL PINK theme (day 1),2024-12-01
38,56451,2982.0,0.008186363636363636,2024,11,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3327089,3451941.4,I Bought the SAME CLOTHES from Different Decades,2024-11-30
43,154284,7865.0,0.02233457300275482,2024,11,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11086750,10605740.54,I Tested EVERY Mystery Box Website (part 1),2024-11-16
22,255198,8294.0,0.03629366391184573,2024,11,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11598178,11759546.14,"I Bought the SAME DRESS for $15, $50, $500, $5000",2024-11-09
28,40294,3512.0,0.0060338842975206615,2024,11,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2479434,2401730.76,I Stayed in BARBIE Themed Airbnbs,2024-11-02
1,2736251,2536.0,0.3772433884297521,2024,10,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,71820610,63399961.84,Will this smoke DYE my DRESS?,2024-10-29
21,84427,5458.0,0.012380853994490359,2024,10,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6884555,6911674.17,DRESS TO IMPRESS In Real Life,2024-10-26
21,84616,3687.0,0.012162947658402205,2024,10,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7580731,7084508.61,I Tested 15 UNUSUAL BEAUTY Products,2024-10-19
1,210294,684.0,0.029060330578512397,2024,10,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6757773,6410275.99,I made your favorite candy GIANT,2024-10-15
28,65405,5542.0,0.009772314049586776,2024,10,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6526620,6133819.33,I Created GIANT CANDY that you can ACTUALLY EAT,2024-10-12
1,97274,302.0,0.01344022038567493,2024,10,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1763160,2100554.28,Recreating UNREALISTIC PINTEREST Photos NYC,2024-10-03
74,29777,1338.0,0.0042858126721763085,2024,9,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1426952,1504667.74,ALL the LOST LUGGAGE I have ever bought (Compilation),2024-09-28
34,63894,3470.0,0.00927878787878788,2024,9,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6476396,5918407.21,I Bought VINTAGE vs NEW Beauty Products,2024-09-21
18,83979,2638.0,0.011930716253443526,2024,9,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4234788,4780321.74,I Thrift Shopped the RICHEST CITY vs POOREST CITY,2024-09-14
22,66890,10384.0,0.010643801652892563,2024,8,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4877261,6298243.54,I Tested UNREALISTIC Custom Nails,2024-08-31
1,77028,289.0,0.010649724517906337,2024,8,26,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2459373,1952245.99,#airbnbpartner LIFE-SIZED POLLY POCKET Icon. Thanks to @Airbnb for sponsoring & flying us in!,2024-08-26
81,16796,6278.0,0.0031782369146005508,2024,8,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1362971,1448958.96,Customizing iPhones and Giving them Away! 🔴 LIVE EXPERIENCE 🔴,2024-08-24
20,70689,4045.0,0.010293939393939393,2024,8,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3315883,6197576.45,I Shopped at SECRET STORES,2024-08-17
28,85060,9566.0,0.013033884297520662,2024,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6178853,6619913.64,VINTAGE Preppy vs NEW Preppy,2024-08-03
1,82085,649.0,0.01139586776859504,2024,7,29,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2579464,2416427.3,I SHRUNK Everything in my Kitchen,2024-07-29
14,75847,3408.0,0.010916666666666667,2024,7,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3033049,4858954.24,I Bought the World's RAREST Fashion,2024-07-27
82,9184,2332.0,0.0015862258953168043,2024,7,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,546122,541291.31,Customizing CROCS & Giving Them Away!  🔴 LIVE STREAM 🔴,2024-07-20
0,165743,859.0,0.02294793388429752,2024,7,15,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5529725,6053602.01,Styling my 6 WEIRDEST CROCS,2024-07-15
21,102834,7807.0,0.015239807162534435,2024,7,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8617057,7875641.92,I Created GIANT BEAUTY PRODUCTS that ACTUALLY WORK,2024-07-13
30,105518,5841.0,0.01533870523415978,2024,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7450064,7686105.99,I Bought EVERY CROCS,2024-07-06
0,63480,1258.0,0.008917079889807163,2024,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1382611,1749708.9,Pink hair is BACK 💖,2024-07-02
24,94571,4177.0,0.013601652892561983,2024,6,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5843385,6192792.35,I Bought TIKTOK SHOP vs TEMU Lost Mail,2024-06-29
67,16661,4448.0,0.0029075757575757577,2024,6,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1540094,1144461.82,Testing Viral Tiktok Art Hacks! 🔴 LIVE STREAM 🔴,2024-06-22
26,121972,5744.0,0.01759173553719008,2024,6,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7554709,7629731.46,I went on an UNREALISTIC PINTEREST VACATION (again),2024-06-15
13,55884,3324.0,0.008155371900826446,2024,6,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3036501,3489919.79,I Bought Nostalgic MINI PRODUCTS that Actually Work!,2024-06-08
1,103590,440.0,0.014329201101928375,2024,6,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2447859,2514921.37,I SHRUNK my MAKEUP,2024-06-03
0,131365,451.0,0.018156473829201103,2024,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4320494,4315541.57,How many DRUNK ELEPHANT Samples = Free Skin Care Smoothie,2024-05-31
32,189392,15039.0,0.028158539944903582,2024,5,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13001046,12767827.93,VINTAGE vs NEW Products from Our Childhood,2024-05-25
0,612975,497.0,0.08450027548209367,2024,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16062375,14594854.26,How many Makeup SAMPLES = BIG bottle?,2024-05-17
117,20520,5767.0,0.0036207988980716255,2024,5,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2126332,1893811.78,Opening DISCONTINUED TOYS From Our Childhood! 🔴 Mystery Box LIVE 🔴,2024-05-15
26,72828,3868.0,0.010564187327823691,2024,5,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5847994,5999718.79,I Tested BEST vs WORST Selling SEPHORA Products,2024-05-11
21,159590,5999.0,0.02280840220385675,2024,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9219251,10763310.39,I Found the REAL version of SCAM DRESSES (pt 2),2024-05-04
16,64590,2451.0,0.009234297520661157,2024,4,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5611925,5083674.02,I Bought MINI PRODUCTS that actually work *kitchen edition*,2024-04-27
57,16676,1236.0,0.0024672176308539943,2024,4,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,788794,1061468.53,I Bought LOST LUGGAGE Mystery Boxes! 🔴 LIVE EXPERIENCE 🔴,2024-04-18
23,93565,3540.0,0.01337534435261708,2024,4,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6077517,6075417.64,I Tested TIKTOK SHOP vs AMAZON identical products,2024-04-14
1,130397,1195.0,0.018125619834710744,2024,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3337184,3332575.79,WHAT lipgloss fits in my VIRAL lipgloss phone case??,2024-04-10
19,89567,3013.0,0.01275206611570248,2024,4,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6167515,5944305.28,I Tested UNREAL Treats from the internet,2024-04-06
16,115138,3133.0,0.01629077134986226,2024,3,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5699062,5966436.98,I Bought VIRAL Aesthetic Products,2024-03-30
18,62202,2327.0,0.008888292011019283,2024,3,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4057211,3759790.55,I Tested UNUSUAL Hair Products,2024-03-23
18,125377,3948.0,0.0178133608815427,2024,3,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7712426,7594611.32,I Tested 1-Star YouTuber Products,2024-03-17
22,173451,4348.0,0.02449022038567493,2024,3,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12022288,11085231.17,I Went on UNREALISTIC Pinterest Vacations,2024-03-09
85,10329,4754.0,0.0020775482093663912,2024,3,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,927224,659991.97,Customizing UGGS and Giving them Away! 🔴 LIVE EXPERIENCE 🔴,2024-03-07
16,62766,2028.0,0.008924793388429752,2024,2,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3288710,3282287.94,I Tested KYLIE COSMETICS vs SKKN BY KIM,2024-02-17
1,699441,6909.0,0.09729338842975206,2024,2,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,17434367,17011619.31,putting Antarctica ICE into a DRINK,2024-02-13
10,85794,2486.0,0.012159779614325069,2024,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7361251,4464867.96,I Bought MINI BEAUTY PRODUCTS that actually work,2024-02-03
12,80606,2612.0,0.011462534435261709,2024,1,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4945894,4735649.23,I Bought SATISFYING Viral TikTok Products,2024-01-27
15,105308,3117.0,0.01493457300275482,2024,1,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5019712,5711185.56,I Bought the SAME Products from TIKTOK SHOP vs AMAZON *not sponsored*,2024-01-13
121,17874,4335.0,0.003059090909090909,2024,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1694044,1780414.12,Customizing Apple Products and Giving them Away! 🔴 LIVE EXPERIENCE 🔴,2024-01-03
33,158445,17718.0,0.024264876033057853,2023,12,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10404170,12137493.11,I Bought EVERY American Girl Doll EVER (1986 - 2024),2023-12-30
0,145586,655.0,0.020143388429752065,2023,12,24,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4702956,4543374.39,3 MOST CURSED Outfits in my Closet,2023-12-24
22,155644,7016.0,0.02240495867768595,2023,12,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9514549,9835901.39,I Bought 100 UNCLAIMED MAIL PACKAGES,2023-12-17
20,123447,7859.0,0.018086225895316804,2023,12,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9761274,9179694.66,I Bought DISCONTINUED Products from our CHILDHOOD (again),2023-12-09
